IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LAO,Lao P.D.R.,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Asia & Pacific,LDC,LLDC,NA,Lower middle income,271.61,193.75,139.25,99.63,14.99,5.73,14.29,18.41,23.99,17.24,18.14,18.14,17.16,14.87
LAO,Lao P.D.R.,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Asia & Pacific,LDC,LLDC,NA,Lower middle income,NA,NA,NA,NA,NA,5.12,4.49,4.88,4.24,2.53,3.16,3.16,2.37,2.67
LAO,Lao P.D.R.,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Asia & Pacific,LDC,LLDC,NA,Lower middle income,NA,NA,NA,NA,NA,16.02,15.63,17.2,15.45,12.32,17.23,17.23,13.89,15.2
LAO,Lao P.D.R.,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Asia & Pacific,LDC,LLDC,NA,Lower middle income,NA,NA,NA,NA,NA,6.36,6.21,6.75,6.15,4.79,6.48,6.48,4.9,5.31
LAO,Lao P.D.R.,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Asia & Pacific,LDC,LLDC,NA,Lower middle income,9.61,8.3,7.71,6.78,6.65,5.71,2.7,4.9,4.7,3.53,3.73,3.73,3.5,3.15
LAO,Lao P.D.R.,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Asia & Pacific,LDC,LLDC,NA,Lower middle income,19.42,19.33,18.54,17.39,18.71,17.84,9.5,17.4,17.2,17.16,20.33,20.33,20.49,17.94
LAO,Lao P.D.R.,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Asia & Pacific,LDC,LLDC,NA,Lower middle income,5.93,6.08,7.09,6.29,6.16,7.09,3.8,6.8,6.9,6.67,7.64,7.64,7.23,6.27
LAO,Lao P.D.R.,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Asia & Pacific,LDC,LLDC,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93,4.93,4.63,4.16
LAO,Lao P.D.R.,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Asia & Pacific,LDC,LLDC,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.88,26.88,27.08,23.72
LAO,Lao P.D.R.,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Asia & Pacific,LDC,LLDC,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.11,10.11,9.56,8.29
LAO,Lao P.D.R.,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Asia & Pacific,LDC,LLDC,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.68,10.68,9.43,9.01
LAO,Lao P.D.R.,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Asia & Pacific,LDC,LLDC,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.24,58.24,55.21,51.38
LAO,Lao P.D.R.,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Asia & Pacific,LDC,LLDC,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,21.9,19.49,17.95
