IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AIA,Anguilla,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIA,Anguilla,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.44,44.44,44.44,44.44
ALB,Albania,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Europe countries,NA,NA,NA,Upper middle income,8.76,6.16,2.95,3.2,3.04,3.04,1.79,2.57,2.71,1.63,1.6,1.6,1.44,1.51
ALB,Albania,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Europe countries,NA,NA,NA,Upper middle income,45.6,36.83,18.66,20.46,20.81,21.13,12.32,21.1,22.33,12.56,13.53,13.53,13.73,13.44
ALB,Albania,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Europe countries,NA,NA,NA,Upper middle income,29.79,21.97,10.73,11.7,11.08,11.35,6.64,9.52,9.66,5.88,6.48,6.48,6.38,6.86
ALB,Albania,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Europe countries,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,4.31,2.56,1.18,1.24,1.28,1.71,1.14,1.03,2.16
ALB,Albania,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Europe countries,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,29.96,17.6,9.68,10.24,9.87,14.5,9.67,9.81,19.2
ALB,Albania,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Europe countries,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,16.09,9.48,4.37,4.43,4.62,6.95,4.63,4.56,9.8
ALB,Albania,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Europe countries,NA,NA,NA,Upper middle income,9.45,7.52,7.1,7.04,6.63,8.5,8.1,1.7,1.8,1.87,1.83,1.83,1.65,1.29
ALB,Albania,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Europe countries,NA,NA,NA,Upper middle income,49.19,46.88,44.89,45.02,45.33,59.08,55.9,14.1,14.9,14.36,15.47,15.47,15.69,11.52
ALB,Albania,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Europe countries,NA,NA,NA,Upper middle income,32.13,26.82,31.73,25.81,25.76,31.73,30.1,6.4,6.4,6.72,7.41,7.41,7.29,5.88
ALB,Albania,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Europe countries,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74,2.06,2.47,1.72
ALB,Albania,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Europe countries,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,17.4,23.53,15.36
ALB,Albania,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Europe countries,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,8.33,10.94,7.84
ALB,Albania,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Europe countries,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74,2.74,2.47,3.45
ALB,Albania,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Europe countries,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,23.2,23.53,30.71
ALB,Albania,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Europe countries,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,11.11,10.94,15.68
AND,Andorra,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,0.55,0.46,0.52,0.57,NA,NA,NA,NA
AND,Andorra,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,20.82,20.8,17.39,17.35,17.67,18.52,18.9,28.35,30.15
AND,Andorra,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,1.09,0.48,0.4,0.45,0.5,NA,NA,NA,NA
AND,Andorra,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,38.85,18.03,15.07,15.03,15.31,20.99,20.99,28.46,21.71
AND,Andorra,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,1,0.8,0.9,1.02,NA,NA,NA,NA
AND,Andorra,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,37.77,37.7,31,30.9,31.49,18.52,18.52,17.78,19.29
AND,Andorra,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.52,18.52,17.78,19.29
AND,Andorra,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Europe countries,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.79,29.63,28.46,19.29
ARE,United Arab Emirates,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Arab States,NA,NA,NA,High income,1.17,1.35,1.44,1.41,1.27,1.5,1.46,1.09,0.52,0.58,0.58,0.58,0.55,0.55
ARE,United Arab Emirates,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Arab States,NA,NA,NA,High income,54.23,53.2,53.6,54.82,55.58,74.5,73.97,55.39,24.68,24.59,25.7,25.7,26.37,27.26
ARE,United Arab Emirates,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Arab States,NA,NA,NA,High income,40.57,40.6,40.56,40.56,40.57,54.18,54.19,40.57,18.79,18.79,19.73,19.73,19.73,19.73
ARE,United Arab Emirates,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,0.74,0.73,0.73,0.75,0.83,0.84,0.84,0.79,0.63
ARE,United Arab Emirates,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,37.06,36.8,36.8,35.4,35.28,37.25,37.25,38.22,31.61
ARE,United Arab Emirates,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,26.96,26.96,26.96,26.95,26.96,28.59,28.59,28.59,22.87
ARE,United Arab Emirates,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Arab States,NA,NA,NA,High income,0.25,0.29,0.31,0.32,0.28,0.25,0.3,0.2,0.2,0.19,0.11,0.11,0.1,0.1
ARE,United Arab Emirates,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Arab States,NA,NA,NA,High income,11.51,11.29,11.37,12.24,12.41,12.45,13.5,9.1,8.8,7.99,4.82,4.82,4.95,5.12
ARE,United Arab Emirates,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Arab States,NA,NA,NA,High income,8.61,8.61,9.06,8.61,9.05,9.06,9.9,6.7,6.7,6.1,3.7,3.7,3.7,3.7
ARE,United Arab Emirates,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.38,0.36,0.35
ARE,United Arab Emirates,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.12,17.12,17.56,17.63
ARE,United Arab Emirates,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.14,13.14,13.14,12.76
ARE,United Arab Emirates,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,0.99,0.93,0.89
ARE,United Arab Emirates,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.95,43.95,45.1,44.52
ARE,United Arab Emirates,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.74,33.74,33.74,32.21
ARG,Argentina,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,3.43,3.72,3.66,3.27,3.61,4.67,5.52,6.96,4.82
ARG,Argentina,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.72,76.98
ARG,Argentina,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,40.3,41.73,41.16,33.88,39.24,48.16,56.95,38.15,24.75
ARG,Argentina,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,1.71,1.87,1.45,0.98,0.83,1.17,1.31,1.06,1.39
ARG,Argentina,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.19,22.17
ARG,Argentina,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,20.15,21.05,16.25,10.16,9.06,12.1,13.53,5.82,7.13
